LT,TEC
13.07905947,36.6512923
13.11239491,36.74197868
13.14573027,36.85701598
13.17906547,36.78120946
13.21240062,36.69013529
13.24573569,36.98218455
13.27907064,37.36093281
13.31240551,37.3750134
13.34574027,37.50023977
13.37907494,37.7759066
13.41240948,38.09778513
13.44574394,38.37982275
13.4790783,38.95786662
13.51241252,38.83087645
13.54574672,39.10100758
13.57908075,39.11010971
13.61241471,39.46785632
13.64574857,39.81914728
13.67908231,40.33797578
13.71241594,40.02999466
13.74574948,40.17499698
13.77908292,40.55530517
13.81241625,41.12237946
13.84574947,41.14272835
13.87908257,41.36864912
13.91241558,41.51077891
13.94574848,41.55994111
13.97908129,41.52274475
14.01241394,41.7866647
14.04574654,41.50713908
14.079079,41.37280809
14.11241134,41.29163962
14.14574358,41.57506221
14.17907575,41.7620365
14.21240776,41.62280559
14.24573969,41.84475828
14.27907148,41.80659733
14.31240314,41.93522768
14.34573476,42.03981421
14.37906621,42.01289539
14.41239756,41.78402639
14.44572882,41.83946909
14.47905996,41.59615001
14.51239095,41.02570061
14.54572188,40.77372727
14.57905267,40.74054547
14.61238338,40.49182002
14.64571395,40.01288699
14.67904442,39.53456292
14.71237474,39.31145657
14.745705,39.29157829
14.77903514,38.70802784
14.81236513,38.64308789
14.84569503,37.99930856
14.87902485,37.59569701
14.9123545,36.75737616
14.9456841,36.91852558
14.97901355,36.53668032
15.01234288,36.11438067
15.04567213,35.62853428
15.07900125,35.10963523
15.11233029,35.2855523
15.14565919,34.90461192
15.17898798,34.46368779
15.2123167,33.99426782
15.24564529,34.07874676
15.27897377,33.87312777
15.31230216,33.42339435
15.34563043,33.07179934
15.3789586,32.76166836
15.41228666,32.69925549
15.44561461,32.59031525
15.47894246,32.65676249
15.5122702,33.27605564
15.54559783,32.85696326
15.57892539,32.70250843
15.61225283,32.68282983
15.64558019,32.61347729
15.67890741,32.12343799
15.71223453,32.11882081
15.74556159,32.07564892
15.77888851,31.74045174
15.81221536,31.83945815
15.84554211,31.76176415
15.87886877,32.16764027
15.91219531,31.92725238
15.94552182,31.66075285
15.97884818,31.24811735
16.01217445,31.82951564
16.04550062,31.56285274
16.07882676,31.04669492
16.11215274,31.31741168
16.14547869,31.02829079
16.17880449,30.89785687
16.21213026,30.90078399
16.2454559,31.09781046
16.27878147,30.85594037
16.31210693,30.97791847
16.34543238,31.07915426
16.37875766,30.94156641
16.41208294,30.88864692
16.44540811,30.38862623
16.47873316,30.04383508
16.51205821,29.9827964
16.54538312,30.16071426
16.578708,30.04295621
16.61203278,30.63277031
16.64535749,30.41507815
16.67868213,29.98031653
16.71200671,30.10217917
16.74533122,29.53907305
16.77865567,29.42800626
16.81198002,29.06097377
16.84530432,29.12042079
16.87862856,29.15487539
16.91195277,29.48646591
16.94527686,29.52300241
16.97860092,29.42062105
17.0119249,29.14769268
17.04524886,29.21929516
17.07857276,29.27416166
17.11189657,29.36584883
17.14522037,29.61511541
17.17854411,29.70067282
17.21186778,29.47981208
17.24519141,29.06966042
17.27851499,28.81255092
17.31183853,28.61163017
17.34516202,28.61580804
17.37848548,29.05148721
17.41180888,29.04863547
17.44513228,29.23176237
17.4784556,29.02839695
17.51177892,28.87178226
17.54510216,28.49896438
17.57842538,27.86746284
17.61174858,27.99287457
17.64507174,28.17510513
17.67839489,28.23739529
17.711718,27.4887371
17.74504109,27.56528101
17.77836415,27.62736236
17.81168719,27.60199156
17.84501021,27.74194893
17.87833319,27.75434522
17.91165615,27.89010495
17.94497912,28.1875633
17.97830206,27.92286142
18.01162499,28.13341882
18.04494791,27.63593124
18.07827084,27.52234229
18.11159374,27.56135267
18.14491662,27.65542776
18.17823951,28.02630705
18.21156242,28.26106568
18.24488529,28.01202894
18.27820816,27.93378271
18.31153103,27.9971608
18.3448539,27.95442101
18.3781768,27.70346867
18.41149971,27.38962314
18.44482255,27.6610505
18.47814549,27.76900666
18.51146839,27.67498808
18.5447913,27.53197212
18.57811425,27.16591755
18.6114372,27.45002419
18.64476019,27.66154706
18.67808315,27.22020609
18.71140616,26.58772973
18.74472919,26.4877513
18.77805225,26.10818675
18.81137532,25.89194287
18.84469841,26.17143165
18.87802155,25.87249655
18.91134472,25.99712252
18.94466789,25.70942631
18.97799109,25.23611984
19.01131435,24.97056464
19.04463761,24.40932407
19.07796095,23.90303271
19.11128429,23.43088858
19.14460768,23.62088987
19.17793112,23.764423
19.21125457,23.44413736
19.2445781,23.47178275
